iter	Passed	Remaining
0	1	121
1	2	119
2	3	117
3	4	112
4	6	116
5	7	113
6	8	109
7	9	108
8	10	106
9	11	104
10	12	102
11	13	101
12	14	99
13	15	97
14	17	96
15	18	94
16	19	94
17	20	92
18	21	91
19	22	90
20	23	90
21	25	89
22	26	88
23	27	87
24	29	87
25	30	86
26	31	85
27	32	84
28	34	84
29	35	83
30	37	82
31	38	81
32	39	81
33	41	80
34	42	79
35	43	77
36	45	77
37	47	76
38	48	75
39	49	74
40	51	73
41	51	71
42	52	69
43	53	68
44	55	67
45	56	66
46	57	65
47	59	64
48	60	63
49	62	62
50	63	61
51	65	60
52	66	59
53	68	58
54	69	56
55	71	55
56	72	55
57	74	53
58	75	52
59	77	51
60	78	50
61	79	48
62	81	47
63	82	46
64	84	45
65	86	44
66	87	43
67	88	41
68	90	40
69	91	39
70	93	38
71	94	36
72	95	35
73	97	34
74	99	33
75	100	31
76	101	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	110	22
83	111	21
84	113	19
85	114	18
86	116	17
87	118	16
88	119	14
89	121	13
90	122	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	133	1
99	134	0
